Participant_ID,Course,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,Used_AI,Frequency_use_AI,Uses_of_AI_pre,Uses_of_AI_write_pre,Why_use_AI,Understand_limitations_pre,Valuable_part_process,Plagiarism,Drafts,Focus_drafts_pre,Focus_drafts_write,Feedback_feel_pre,Feedback_importance_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Year_post,Year_write_post,Major_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in,Language_write_in_other,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,Used_AI_post,Focus_drafts_post,Feedback_feel_post,Preferred_feedback_post,Preferred_feedback_write_post,peer_motivate_revise_post,AI_motivate_revise_post
P236,FYW,winter_2024,2nd year,NA,bi?o,English intermediate?mandarin native,No,19,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Other",grabing evidence,ai can make me more clear about what I am going to write,Somewhat understand,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,Somewhat agree,,,Ai somehow give valuable advice,Relying to much on ai stop us think actively,2nd year,NA,bio,English advanced?mandarin native,No,19,,,No,NA,No,NA,Asian/Pacific Islander,,,No impact on confidence,AI and peer feedback used together,NA,Neither agree nor disagree,Neither agree nor disagree
P237,ENV,winter_2024,2nd year,NA,Psychology,"Chinese: advanced, English: Intermediate",No,18,,,,,,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"Because I‘m not native speaker, I want AI help me improve my grammar",Somewhat understand,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,"No grammatical errors, fluent language","AI doesn't know my research direction, so it may give wrong feedback",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P238,HSW,winter_2024,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,3rd year,NA,Computer Science,English- advanced. Marathi- advanced.,No,17,,,No,NA,No,NA,International,,,More confident about my writing,AI feedback,NA,Somewhat agree,Somewhat agree
P239,ADV,winter_2024,3rd year,NA,Undecided,"Mandarin: advance, English: intermediate",No,15,,,,,,No,1 = never,"Editing for Grammar/Clarity (ask AI to edit for grammar),I do not use AI Writing Tools",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P24,ENV,winter_2024,1st year,NA,Biological Sciences,English: Advanced,Yes,NA,,,,,,No,2 = infrequently,Other,"Math and chemistry help, not english",NA,Do NOT understand well,Neither agree nor disagree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,,,"Using ChatGPT might help with drafts and coming up with paragraph topics, especially for long essays.",N/A,1st year,NA,Biological Sciences,English advanced,Yes,NA,,,Yes,NA,Yes,NA,"African-American/Black,Hispanic/Latinx/Chicanx",,,No impact on confidence,AI and peer feedback used together,NA,Somewhat agree,Neither agree nor disagree
P240,ENV,winter_2024,4th year,NA,Managerial Economics,Mandarin:Advanced,No,15,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Neither agree nor disagree,Strongly agree,Yes,Strengthening Argument,NA,More confident about my writing,Neither agree nor disagree,,,Nothing special,Nothing really special,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P241,ADV,winter_2024,4th year,NA,Economy,"English: beginner, Mandarin: advanced",No,15,,,,,,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,NA,Somewhat do NOT understand,Somewhat disagree,Somewhat disagree,No,NA,NA,More confident about my writing,Somewhat agree,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P242,ENV,winter_2024,2nd year,NA,Statistics,English: advanced,Yes,NA,,,,,,Yes,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Strongly agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Somewhat agree,,,It's unbiased,It can't analyze as deeply as a human,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P243,ENV,winter_2024,1st year,NA,Biochemistry and Molecular Biology,"English: Advanced, Hindi: Advanced, Telugu: Advanced, Urdu: Intermediate, Spanish: Beginner, Arabic: Beginner",No,17,,,,,,Yes,3 = neither frequently nor infrequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"I use AI in my writing because it makes things faster, especially when I'm writing emails. It helps me improve how my messages sound, so they come across bette",Somewhat understand,Somewhat agree,Somewhat agree,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,"Faster feedback, Lesser workload on the TA/ Professor.","Not very specific, may provide similar feedback to everyone. May not provide various perspectives and views that a human could do, and may be simpler to comprehend.",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P25,HSW,winter_2024,4th year,NA,Biochemistry,"English: Advanced, Hindi: Advanced",Yes,NA,,,,,,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work)",NA,Its quicker and efficient to ask for some ways to review sentence structure. Generating ideas is also very useful through this tool.,Somewhat understand,Strongly agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Improving organization, flow, transitions",NA,No impact on confidence,Somewhat agree,,,"Fast, efficient, pretty robust most of the times",Could be inaccurate in rare cases,4th year,NA,Biochemistry,English: advanced,Yes,NA,,,No,NA,No,NA,Asian/Pacific Islander,,,No impact on confidence,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P26,HSW,winter_2024,3rd year,NA,Biochemistry and Molecular Biology,English: advanced,Yes,NA,,,,,,Yes,2 = infrequently,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",NA,No impact on confidence,Strongly agree,,,I feel that it will help me to organize my thoughts more effectively and emphasize important points to create a stronger argument.,"With using AI, a concern of mine is that my writing will be considered plagiarized, which is the reason why I never really use it.",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P27,FYW,winter_2024,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,2nd year,NA,Landscape Architecture,English: Fluent ; Portuguese: Fluent,Yes,NA,,,No,NA,No,NA,"Hispanic/Latinx/Chicanx,White/Caucasian",,,Less confident about my writing,AI and peer feedback used together,NA,Strongly agree,Somewhat agree
P28,ENV,winter_2024,2nd year,NA,Cell Biology,English: Advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Unsure,Strongly agree,,,I think it would be a lot faster at noticing errors. I also think that it can be more clear about any feedback if you ask the AI to rephrase statements enough times.,I am worried the writing won’t sound as personable and might make me lazier when writing something knowing that AI will “fix my mistakes”.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P29,ENV,winter_2024,3rd year,NA,Human Biology,"English: advanced, Punjabi: intermediate, Urdu: beginner",No,7,,,,,,Yes,2 = infrequently,I do not use AI Writing Tools,NA,NA,Somewhat do NOT understand,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,"The main advantage will be how quick the feedback will be given. Usually, with peer review, it can take a few days to receive feedback; however, AI can give feedback in a few seconds or minutes","AI might have a difficult time giving feedback that is useful, since it doesn't know the rubric and guidelines for the writing assignment, which the TA/peer would know..",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P3,APW,winter_2024,2nd year,NA,Managerial Economics / Professional Writing,English: Advanced,Yes,NA,,,,,,Yes,5 = very frequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Writing (ask AI to write paragraphs),Other",Synonyms or synonym sentences.,"I typically understand my tone and goal of what I am trying to write. I have found AI, such as ChatGPT to be a helpful sandbox for which I can play around with my rhetoric.",Understand very well,Strongly agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,,,My writing will become more precise and will be tailored to exactly what I want the reader to feel and comprehend.,"I am concerned about the use of AI in primary in secondary school. Once a person is writing professionally or for higher education, AI is just a tool, as long as it is used properly.",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P30,ECO,winter_2024,4th year,NA,Environmental Horticulture,"English: Advanced, Spanish: advanced",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Somewhat disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",NA,More confident about my writing,Strongly agree,,,"Faster, convenient, accessible","Quality may be less, seems like cheating, may not be accepted readily",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P31,HSW,winter_2024,Other,"At Davis or in general, Davis (3rd).",Nutritional Biology,"English, intermediate.",Yes,NA,,,,,,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,Clarity of sentences.,Do NOT understand well,Neither agree nor disagree,Strongly agree,No,NA,NA,Less confident about my writing,Strongly agree,,,Checks for errors in structure or lapses in citations.,"You can ask it to write your papers, which is cheating. But maybe writing for the sense of grading and evaluations is outdated in our modern society. Much like statistically calculations are no longer handled by hand, maybe writing assignments are no longer appropriate for ciciculum.",4th year,NA,Nut bio,English,Yes,NA,,,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,,,Unsure,AI feedback,NA,Strongly disagree,Neither agree nor disagree
P32,HSW,winter_2024,4th year,NA,Psychology/education,"spanish, English: advanced",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat do NOT understand,Neither agree nor disagree,Neither agree nor disagree,No,NA,NA,Less confident about my writing,Neither agree nor disagree,,,grammar,plagiarism,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P33,ECO,winter_2024,4th year,NA,Environmental Policy Analysis and Planning,English- advanced,Yes,NA,,,,,,Yes,2 = infrequently,Other,To generate ideas/topics,I occasionally use AI to generate ideas early in the writing process because it results in more specific and personalized guidance than scrolling through tons of unrelated links on Google.,Understand very well,Somewhat disagree,Neither agree nor disagree,No,NA,NA,More confident about my writing,Strongly agree,,,It can catch mistakes in a timely manner. I wouldn’t have to wait for a response from a TA or my peers.,I would be concerned about whether ChatGPT is using reliable sources when critiquing my writing.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P34,HSW,winter_2024,4th year,NA,Biotechnology,English: advanced,Yes,NA,,,,,,Yes,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Strongly agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,"generating ideas, giving specific examples, expanding vocabulary","can be easy to ""steal"" ideas, difficult to find research or evidence associated with information",4th year,NA,Biotechnology,"English: advanced, Gujarati: beginner",Yes,NA,,,No,NA,Yes,NA,"Asian/Pacific Islander,White/Caucasian",,,More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P35,ECO,winter_2024,Other,NA,Environmental policy and management,"English and German fluently, Spanish intermediate",Yes,NA,,,,,,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,NA,Somewhat understand,Somewhat agree,Neither agree nor disagree,Yes,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P36,ADV,winter_2024,3rd year,NA,Biological Sciences,"English: advanced, Tagalog: intermediate",Yes,NA,,,,,,Yes,2 = infrequently,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",NA,Unsure,Strongly agree,,,"Using AI for feedback can allow you to improve grammar usage, flow of sentences, and strengthen data points overall.","A disadvantage to using AI would be a lack of human interaction, as AI can sometimes give information robotically.",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P37,HSW,winter_2024,4th year,NA,Human Biology/Public Health,"English-advanced, Tamil-advanced",Yes,NA,,,,,,Yes,5 = very frequently,"I do not use AI Writing Tools,Other",I mainly use it to study for my stem/science classes because it explains concepts in a straightforward way.,NA,Do NOT understand well,Somewhat agree,Strongly disagree,No,NA,NA,Unsure,Strongly agree,,,checking for clarity or rephrasing things,n/a,4th year,NA,human bio,english advanced,Yes,NA,,,No,NA,Yes,NA,Asian/Pacific Islander,,,More confident about my writing,AI and peer feedback used together,NA,Neither agree nor disagree,Neither agree nor disagree
